,Sentiment
0,Negative
1,Negative
2,Positive
3,Negative
4,Negative
5,Neutral
6,Positive
7,Negative
8,Negative
9,Neutral
10,Negative
11,Positive
12,Neutral
13,Negative
14,Neutral
15,Negative
16,Negative
17,Positive
18,Neutral
19,Neutral
20,Positive
21,Neutral
22,Neutral
23,Neutral
24,Positive
25,Negative
26,Neutral
27,Positive
28,Neutral
29,Positive
30,Neutral
31,Positive
32,Neutral
33,Neutral
34,Neutral
35,Negative
36,Neutral
37,Positive
38,Positive
39,Positive
40,Positive
41,Neutral
42,Negative
43,Positive
44,Negative
45,Neutral
46,Negative
47,Neutral
48,Negative
49,Negative
50,Negative
51,Negative
52,Positive
53,Neutral
54,Negative
55,Negative
56,Positive
57,Neutral
58,Neutral
59,Neutral
60,Neutral
61,Positive
62,Neutral
63,Negative
64,Negative
65,Positive
66,Negative
67,Positive
68,Neutral
69,Positive
70,Neutral
71,Negative
72,Neutral
73,Positive
74,Neutral
75,Negative
76,Positive
77,Neutral
78,Positive
79,Neutral
80,Neutral
81,Neutral
82,Negative
83,Positive
84,Positive
85,Neutral
86,Positive
87,Positive
88,Positive
89,Neutral
90,Negative
91,Positive
92,Negative
93,Neutral
94,Negative
95,Negative
96,Negative
97,Positive
98,Neutral
99,Negative
100,Neutral
101,Positive
102,Neutral
103,Positive
104,Neutral
105,Neutral
106,Positive
107,Negative
108,Positive
109,Neutral
110,Positive
111,Positive
112,Positive
113,Negative
114,Negative
115,Negative
116,Neutral
117,Positive
118,Negative
119,Negative
120,Negative
121,Positive
122,Negative
123,Neutral
124,Negative
125,Positive
126,Negative
127,Negative
128,Negative
129,Negative
130,Negative
131,Neutral
132,Positive
133,Negative
134,Neutral
135,Positive
136,Positive
137,Neutral
138,Negative
139,Neutral
140,Positive
141,Neutral
142,Positive
143,Positive
144,Neutral
145,Negative
146,Positive
147,Positive
148,Positive
149,Positive
150,Positive
151,Positive
152,Positive
153,Negative
154,Negative
155,Negative
156,Positive
157,Negative
158,Neutral
159,Neutral
160,Positive
161,Positive
162,Negative
163,Positive
